"L_bankssts_surfavg","L_caudalanteriorcingulate_surfavg","L_caudalmiddlefrontal_surfavg","L_cuneus_surfavg","L_entorhinal_surfavg","L_fusiform_surfavg","L_inferiorparietal_surfavg","L_inferiortemporal_surfavg","L_isthmuscingulate_surfavg","L_lateraloccipital_surfavg","L_lateralorbitofrontal_surfavg","L_lingual_surfavg","L_medialorbitofrontal_surfavg","L_middletemporal_surfavg","L_parahippocampal_surfavg","L_paracentral_surfavg","L_parsopercularis_surfavg","L_parsorbitalis_surfavg","L_parstriangularis_surfavg","L_pericalcarine_surfavg","L_postcentral_surfavg","L_posteriorcingulate_surfavg","L_precentral_surfavg","L_precuneus_surfavg","L_rostralanteriorcingulate_surfavg","L_rostralmiddlefrontal_surfavg","L_superiorfrontal_surfavg","L_superiorparietal_surfavg","L_superiortemporal_surfavg","L_supramarginal_surfavg","L_frontalpole_surfavg","L_temporalpole_surfavg","L_transversetemporal_surfavg","L_insula_surfavg","R_bankssts_surfavg","R_caudalanteriorcingulate_surfavg","R_caudalmiddlefrontal_surfavg","R_cuneus_surfavg","R_entorhinal_surfavg","R_fusiform_surfavg","R_inferiorparietal_surfavg","R_inferiortemporal_surfavg","R_isthmuscingulate_surfavg","R_lateraloccipital_surfavg","R_lateralorbitofrontal_surfavg","R_lingual_surfavg","R_medialorbitofrontal_surfavg","R_middletemporal_surfavg","R_parahippocampal_surfavg","R_paracentral_surfavg","R_parsopercularis_surfavg","R_parsorbitalis_surfavg","R_parstriangularis_surfavg","R_pericalcarine_surfavg","R_postcentral_surfavg","R_posteriorcingulate_surfavg","R_precentral_surfavg","R_precuneus_surfavg","R_rostralanteriorcingulate_surfavg","R_rostralmiddlefrontal_surfavg","R_superiorfrontal_surfavg","R_superiorparietal_surfavg","R_superiortemporal_surfavg","R_supramarginal_surfavg","R_frontalpole_surfavg","R_temporalpole_surfavg","R_transversetemporal_surfavg","R_insula_surfavg"
1012,511,2483,1609,530,2899,4303,3052,941,4923,2612,2958,2051,3134,583,1417,1465,617,1111,1465,4492,1155,5011,3786,842,5840,7802,5520,3882,3961,220,390,403,1955,1028,850,1979,1533,381,2948,5340,3409,1016,5137,2302,3257,1779,3717,607,1533,1471,733,1385,1618,4321,1553,5287,3600,730,5460,7889,5231,3675,3155,301,425,315,2017
967,728,1762,1402,448,3337,4826,4039,1033,5251,2712,2897,1849,3189,750,1478,1691,695,1684,1218,4243,1132,4593,4494,860,5751,7839,6286,4286,6276,253,468,360,2706,903,625,2081,1372,496,3547,6084,4022,805,5396,2505,2986,1932,4175,762,1612,1368,763,1414,1301,4235,1207,5041,4573,577,5548,7658,5864,3660,4350,314,438,351,2809
1233,822,3331,1748,400,3633,5332,4363,1343,5355,3144,3845,2037,4271,811,1489,1902,826,1654,1715,4699,1329,5587,5007,947,7414,8246,7125,4698,5335,281,488,495,2877,833,754,2528,1762,398,4238,6590,3696,1206,5860,3095,3827,2373,4252,784,1575,1506,1074,2020,1787,4819,1398,5130,5298,694,7494,8607,6544,4989,4771,321,501,444,3274
1382,781,2960,1759,511,3428,5131,3737,1115,5858,2918,3312,2334,3728,883,1853,2116,776,1397,1461,5265,1820,5904,4277,1364,6583,9212,6758,5025,5298,279,464,662,2634,1043,756,3252,2010,599,3184,5463,4467,1107,5170,3165,3562,2295,4214,602,1537,1448,962,1464,1508,5538,1484,6032,5110,705,6844,9275,6871,4216,4837,294,578,386,2383
1063,656,2349,1239,564,3123,4354,2872,1083,4415,2031,2689,1649,2793,587,1331,1530,747,1197,1108,3848,1250,4681,3858,781,4677,6134,5503,3598,3994,295,423,454,2072,818,677,2022,1355,507,3318,5189,3397,947,4569,2051,2792,1564,3253,624,1429,1284,775,1330,1215,3808,1263,4617,4102,422,4810,6590,5724,3401,4298,321,499,319,1985
1182,797,2091,1746,405,3540,5109,4500,1135,5622,3043,3554,2089,3867,670,1329,2228,833,1911,1656,4334,1301,4669,4657,932,7347,7896,6420,4237,4808,276,471,502,2444,861,859,2424,1573,453,3841,6465,4631,1118,6240,2957,3488,2073,4075,695,1542,1449,991,2004,1758,4710,1336,5312,4658,693,7428,7497,6281,3636,4499,300,648,349,2263
1207,887,2653,1664,539,3732,5768,4275,1053,6503,3212,3242,2419,3676,777,1258,2079,809,1572,1405,3913,1577,5266,5021,983,7286,8238,6562,4267,4907,244,528,448,2519,923,748,2561,1739,533,3647,6196,3982,1098,7166,3277,3481,2291,4279,679,1564,1338,1056,1645,1496,4692,1301,5011,5423,654,8215,7976,5792,4021,4075,387,491,421,2183
1334,894,2834,1640,504,3582,5547,4453,1122,5491,3304,2608,2099,3933,687,1474,1731,880,1263,1256,5473,1594,5809,4473,1013,8164,8390,5916,4597,4235,309,529,517,2771,938,745,3166,1554,483,3433,6010,4789,1114,6244,3136,2902,2568,4424,704,1747,1590,929,1561,1493,4813,1455,5922,5091,616,7673,8018,5743,3918,3830,340,548,317,2814
988,538,2447,1415,444,2782,4148,3569,1155,5143,2982,2866,1855,3189,646,1204,1790,807,1450,1417,4005,1195,5119,3725,878,6275,7266,5917,4044,4454,312,474,462,2439,898,813,2127,1624,532,2758,5791,3307,827,5246,2983,3396,1879,3603,633,1845,1385,1025,1861,1630,3579,1264,4985,3998,721,5540,7355,5587,3498,3669,276,519,325,2333
904,632,2283,1727,526,2456,3731,2675,1136,4471,2881,3054,1504,2969,523,1642,1725,753,1456,1569,4250,1392,5461,4779,770,5609,8326,6612,4376,4986,271,534,484,2592,830,904,2240,1900,411,2781,5000,3483,955,5130,2748,3146,1788,3906,502,1848,1406,875,1658,1700,4035,1284,5275,4674,756,5956,7263,6403,3485,4190,331,449,272,2731
