"","K","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8"
"1",10,2,2,2,2,2,2
"2",11,2,2,2,2,3,3
"3",12,2,2,2,2,3,3
"4",13,2,2,2,2,3,3
"5",14,2,2,2,2,2,2
"6",15,2,2,2,2,2,2
"7",16,2,2,2,2,2,2
"8",17,2,2,2,2,2,2
"9",18,2,2,2,2,2,2
"10",19,2,2,2,2,2,4
"11",20,2,2,2,2,2,4
"12",21,2,2,2,2,4,4
"13",22,2,2,2,2,4,4
"14",23,2,2,2,2,4,4
"15",24,2,2,2,2,4,4
"16",25,2,2,2,4,4,4
"17",26,2,2,2,4,4,4
"18",27,2,2,2,4,4,4
"19",28,2,2,2,4,4,4
"20",29,2,2,4,4,4,4
"21",30,2,2,4,4,4,4
