"","K","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8"
"1",10,6,10,5,3,3,2
"2",11,6,10,5,3,2,9
"3",12,6,8,5,3,2,5
"4",13,6,8,5,3,2,5
"5",14,6,6,5,5,3,3
"6",15,6,5,5,5,5,2
"7",16,6,5,5,5,5,2
"8",17,10,5,4,5,5,2
"9",18,10,5,4,4,4,4
"10",19,10,4,4,4,2,9
"11",20,10,4,4,4,9,9
"12",21,10,4,4,4,9,9
"13",22,3,4,4,2,2,9
"14",23,3,4,4,2,2,2
"15",24,3,4,4,2,2,2
"16",25,3,4,2,2,2,9
"17",26,3,4,2,2,9,9
"18",27,3,4,2,2,9,9
"19",28,3,4,2,9,9,9
"20",29,3,4,2,6,6,6
"21",30,3,4,2,9,9,6
