"","K","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8"
"1",10,6,10,5,3,3,3
"2",11,6,10,5,3,2,2
"3",12,6,8,5,3,2,2
"4",13,6,6,5,3,2,2
"5",14,6,6,5,3,3,3
"6",15,6,5,5,5,5,5
"7",16,6,5,5,5,5,5
"8",17,3,5,4,4,4,5
"9",18,3,4,4,4,4,4
"10",19,3,4,4,4,4,2
"11",20,3,4,4,4,4,2
"12",21,3,4,4,4,2,2
"13",22,3,4,4,4,2,2
"14",23,3,4,4,4,2,2
"15",24,3,4,4,4,2,2
"16",25,3,4,4,2,2,2
"17",26,3,4,4,2,2,2
"18",27,3,4,4,2,2,2
"19",28,3,4,4,2,2,2
"20",29,3,4,2,2,2,2
"21",30,3,4,2,2,2,2
