adhd_adhd,adhd_ocd,asd_adhd,asd_ocd,ocd_adhd,ocd_ocd
0.199517120280948,0.236830553116769,0.172080772607551,0.208296751536435,0.243634767339772,0.2671202809482
0.212467076382792,0.245390693590869,0.175812115891133,0.225417032484636,0.245171202809482,0.26404741000878
0.213345039508341,0.239683933274803,0.187445127304653,0.217734855136084,0.234196663740123,0.252633889376646
0.217076382791923,0.233099209833187,0.192493415276558,0.224100087796313,0.230684811237928,0.258121158911326
0.208955223880597,0.248902546093064,0.183933274802458,0.218612818261633,0.230026338893766,0.286874451273047
0.226953467954346,0.241659350307287,0.200834064969271,0.224539069359087,0.248244073748903,0.273266022827041
0.2071992976295,0.248683055311677,0.190298507462687,0.230465320456541,0.246049165935031,0.27963125548727
0.217954345917471,0.232440737489025,0.185469710272169,0.223441615452151,0.254170324846356,0.276997366110623
0.219710272168569,0.241000877963126,0.191395961369622,0.230904302019315,0.25548726953468,0.276119402985075
0.218173836698859,0.243195785776997,0.185469710272169,0.232660228270413,0.246488147497805,0.273485513608428
0.210491659350307,0.259438103599649,0.192932396839333,0.240122914837577,0.254609306409131,0.291703248463565
0.217954345917471,0.266242317822651,0.196005267778753,0.233757682177349,0.257901668129939,0.285557506584723
0.22036874451273,0.259877085162423,0.194249341527656,0.239244951712028,0.268876207199298,0.28972783143108
0.208516242317823,0.256584723441615,0.192273924495171,0.240561896400351,0.251755926251097,0.278753292361721
0.217734855136084,0.25702370500439,0.199956101843723,0.240561896400351,0.270193151887621,0.279411764705882
0.212028094820018,0.24846356453029,0.194468832309043,0.253511852502195,0.253511852502195,0.26404741000878
0.219051799824407,0.262071992976295,0.190737489025461,0.258779631255487,0.270851624231782,0.278533801580334
0.205882352941176,0.256365232660228,0.18612818261633,0.267559262510975,0.2585601404741,0.278094820017559
0.210052677787533,0.256804214223003,0.181299385425812,0.266461808604039,0.263608428446005,0.288849868305531
0.205882352941176,0.263169446883231,0.192493415276558,0.259438103599649,0.266900790166813,0.28116769095698
0.211369622475856,0.256584723441615,0.194468832309043,0.26558384547849,0.251975417032485,0.284460052677788
0.200614574187884,0.244073748902546,0.180640913081651,0.262949956101844,0.263827919227392,0.276119402985075
0.201273046532046,0.262291483757682,0.182177348551361,0.258340649692713,0.259218612818262,0.267998244073749
