diff_12,diff_13,diff_14,diff_32,diff_42,diff_34
0.198858647936787,0.115452151009658,0.0228270412642669,0.314310798946444,0.17603160667252,0.138279192273924
0.206321334503951,0.109306409130816,0.0316066725197541,0.315627743634767,0.174714661984197,0.140913081650571
0.209833187006146,0.108867427568042,0.0390693590869183,0.318700614574188,0.170763827919227,0.14793678665496
0.212467076382792,0.10667251975417,0.044776119402985,0.319139596136962,0.167690956979807,0.151448639157155
0.222563652326602,0.102721685689201,0.0517998244073749,0.325285338015803,0.170763827919227,0.154521510096576
0.218612818261633,0.107550482879719,0.0553116769095698,0.326163301141352,0.163301141352063,0.162862159789289
0.223880597014925,0.0987708516242318,0.0680421422300264,0.322651448639157,0.155838454784899,0.166812993854258
0.2243195785777,0.0935030728709394,0.0741878841088674,0.317822651448639,0.150131694468832,0.167690956979807
0.228709394205443,0.0869183494293239,0.083406496927129,0.315627743634767,0.145302897278314,0.170324846356453
0.225636523266023,0.0812115891132572,0.0842844600526778,0.30684811237928,0.141352063213345,0.165496049165935
0.227831431079895,0.0781387181738367,0.0812115891132572,0.305970149253731,0.146619841966637,0.159350307287094
0.229148375768218,0.0733099209833187,0.0895522388059701,0.302458296751536,0.139596136962248,0.162862159789289
0.226514486391572,0.0667251975417033,0.0983318700614574,0.293239683933275,0.128182616330114,0.165057067603161
0.225197541703248,0.062774363476734,0.100526777875329,0.287971905179982,0.124670763827919,0.163301141352063
0.221685689201054,0.0557506584723442,0.108428446005268,0.277436347673398,0.113257243195786,0.164179104477612
0.223441615452151,0.04828797190518,0.111062335381914,0.271729587357331,0.112379280070237,0.159350307287094
0.221685689201054,0.0417032484635645,0.111501316944688,0.263388937664618,0.110184372256365,0.153204565408253
0.219490781387182,0.0359964881474978,0.117208077260755,0.25548726953468,0.102282704126427,0.153204565408253
0.219929762949956,0.0316066725197542,0.120280948200176,0.25153643546971,0.0996488147497805,0.15188762071993
0.219051799824407,0.028972783143108,0.125109745390694,0.248024582967515,0.0939420544337138,0.154082528533802
0.216417910447761,0.0263388937664618,0.123792800702371,0.242756804214223,0.0926251097453907,0.150131694468832
0.209833187006146,0.0294117647058824,0.122914837576822,0.239244951712028,0.086918349429324,0.152326602282704
0.207638279192274,0.0250219490781388,0.122914837576822,0.232660228270413,0.0847234416154521,0.147936786654961
