adhd_asd,adhd_ocd,asd_ocd
0.140913081650571,0.0921861281826164,0.0487269534679543
0.136962247585601,0.0943810359964881,0.0425812115891133
0.135645302897278,0.0978928884986831,0.0377524143985952
0.127304653204565,0.100526777875329,0.0267778753292363
0.12071992976295,0.103160667251975,0.0175592625109745
0.119402985074627,0.104038630377524,0.0153643546971027
0.114574187884109,0.108867427568042,0.00570676031606665
0.116769095697981,0.12071992976295,0.00395083406496921
0.116330114135206,0.123792800702371,0.0074626865671642
0.112818261633011,0.130377524143986,0.0175592625109745
0.114135206321335,0.136523266022827,0.0223880597014925
0.113257243195786,0.143107989464442,0.0298507462686567
0.104916593503073,0.141791044776119,0.0368744512730464
0.0983318700614574,0.141791044776119,0.043459174714662
0.0983318700614574,0.143107989464443,0.0447761194029851
0.0943810359964881,0.151009657594381,0.0566286215978929
0.0877963125548727,0.152765583845479,0.0649692712906058
0.083406496927129,0.157594381035996,0.0741878841088675
0.0794556628621598,0.158033362598771,0.0785776997366111
0.0689201053555751,0.161106233538191,0.0921861281826163
0.0649692712906058,0.156277436347673,0.0913081650570676
0.0671641791044776,0.161545215100966,0.0943810359964882
0.057945566286216,0.157155399473222,0.0992098331870061
