G1,G2,G3,G4
0.564530289727831,0.365671641791045,0.679982440737489,0.541703248463565
0.552677787532924,0.346356453028973,0.66198419666374,0.521071115013169
0.539069359086918,0.329236172080773,0.64793678665496,0.5
0.526777875329236,0.314310798946444,0.633450395083407,0.482001755926251
0.515364354697103,0.2928007023705,0.618086040386304,0.463564530289728
0.499122036874451,0.280509218612818,0.60667251975417,0.443810359964881
0.488147497805092,0.264266900790167,0.586918349429324,0.420105355575066
0.475417032484636,0.251097453906936,0.568920105355575,0.401229148375768
0.466637401229148,0.237928007023705,0.553555750658472,0.383230904302019
0.45171202809482,0.226075504828797,0.532923617208077,0.367427568042142
0.438103599648815,0.21027216856892,0.516242317822651,0.356892010535558
0.424934152765584,0.195785776997366,0.498244073748903,0.335381913959614
0.413081650570676,0.186567164179104,0.479806848112379,0.314749780509219
0.400790166812994,0.175592625109745,0.463564530289728,0.300263388937665
0.388059701492537,0.166374012291484,0.443810359964881,0.27963125548727
0.376646180860404,0.153204565408253,0.424934152765584,0.26558384547849
0.364793678665496,0.143107989464443,0.406496927129061,0.253292361720808
0.353380158033363,0.133889376646181,0.38937664618086,0.236172080772608
0.342405618964004,0.122475856014047,0.374012291483758,0.222124670763828
0.33099209833187,0.111940298507463,0.359964881474978,0.205882352941176
0.317383669885865,0.100965759438104,0.343722563652327,0.193590869183494
0.301141352063213,0.0913081650570676,0.330553116769096,0.178226514486392
0.288410886742757,0.0807726075504829,0.313432835820896,0.165496049165935
