density_table1,density_table2,density_table3,density_table4,density_table5,density_table6,density_table7,density_table8,density_table9,density_table10,density_table11,density_table12,density_table13,density_table14,density_table15,density_table16
0.286654960491659,0.270632133450395,0.276119402985075,0.260316066725198,0.260755048287972,0.229367866549605,0.245610184372256,0.235733099209833,0.276997366110623,0.238147497805092,0.263608428446005,0.234196663740123,0.270193151887621,0.232221246707638,0.238147497805092,0.245610184372256
0.280070237050044,0.253511852502195,0.26558384547849,0.263169446883231,0.261633011413521,0.236172080772608,0.243195785776997,0.235513608428446,0.260535557506585,0.233538191395961,0.256145741878841,0.240122914837577,0.273485513608428,0.221027216856892,0.250877963125549,0.236611062335382
0.302458296751536,0.254609306409131,0.271071115013169,0.268876207199298,0.272827041264267,0.226514486391572,0.238366988586479,0.2243195785777,0.274802458296752,0.25,0.252194907813872,0.25,0.264486391571554,0.233757682177349,0.248024582967515,0.241878841088674
0.300482879719052,0.25702370500439,0.258340649692713,0.256584723441615,0.269095697980685,0.227611940298507,0.244732221246708,0.226733977172959,0.276997366110623,0.248244073748903,0.254609306409131,0.239025460930641,0.269754170324846,0.228270412642669,0.249341527655838,0.243415276558385
0.296532045654083,0.266900790166813,0.277216856892011,0.273266022827041,0.2671202809482,0.221027216856892,0.233977172958736,0.213345039508341,0.265803336259877,0.23595258999122,0.262291483757682,0.243415276558385,0.278314310798946,0.232221246707638,0.240781387181738,0.220588235294118
0.275021949078139,0.2585601404741,0.282484635645303,0.276119402985075,0.278094820017559,0.2243195785777,0.253072870939421,0.218612818261633,0.273705004389816,0.23441615452151,0.242756804214223,0.24297629499561,0.283582089552239,0.242317822651449,0.25153643546971,0.241878841088674
0.278094820017559,0.27414398595259,0.274363476733977,0.275241439859526,0.275899912203687,0.218393327480246,0.224758560140474,0.220588235294118,0.280728709394205,0.233318700614574,0.243854258121159,0.243634767339772,0.267998244073749,0.215539947322212,0.238586479367867,0.215978928884987
0.295654082528534,0.273046532045654,0.261413520632133,0.279192273924495,0.263388937664618,0.205882352941176,0.236172080772608,0.21883230904302,0.2671202809482,0.242537313432836,0.257682177348551,0.240122914837577,0.267778753292362,0.237489025460931,0.237708516242318,0.222783143107989
0.281387181738367,0.27963125548727,0.274802458296752,0.269534679543459,0.283362598770852,0.203467954345917,0.239244951712028,0.223222124670764,0.275460930640913,0.234855136084284,0.248244073748903,0.236611062335382,0.285996488147498,0.227831431079895,0.232440737489025,0.22739244951712
0.285338015803336,0.275460930640913,0.270412642669008,0.2756804214223,0.275021949078139,0.213125548726953,0.229148375768218,0.206540825285338,0.267339771729587,0.228050921861282,0.243634767339772,0.242537313432836,0.271729587357331,0.217076382791923,0.239244951712028,0.220588235294118
0.283143107989464,0.262730465320457,0.266242317822651,0.260755048287972,0.285776997366111,0.210711150131694,0.221246707638279,0.21729587357331,0.265364354697103,0.23134328358209,0.251975417032485,0.220149253731343,0.26009657594381,0.217734855136084,0.232440737489025,0.220588235294118
0.287532923617208,0.27260755048288,0.269754170324846,0.269754170324846,0.271290605794557,0.197322212467076,0.2157594381036,0.199956101843723,0.266242317822652,0.22739244951712,0.234855136084284,0.230904302019315,0.273924495171203,0.211150131694469,0.231782265144864,0.211589113257243
0.271071115013169,0.273266022827041,0.272827041264267,0.27260755048288,0.291703248463565,0.195127304653205,0.222124670763828,0.211369622475856,0.272388059701492,0.22739244951712,0.238586479367867,0.215100965759438,0.26558384547849,0.206760316066725,0.232440737489025,0.203906935908692
0.274802458296752,0.275460930640913,0.2756804214223,0.269095697980685,0.267339771729587,0.19622475856014,0.221685689201054,0.197541703248464,0.277655838454785,0.222124670763828,0.231123792800702,0.223002633889377,0.2756804214223,0.200395083406497,0.22739244951712,0.206101843722564
0.275241439859526,0.279411764705882,0.267559262510975,0.271290605794557,0.281387181738367,0.199297629499561,0.207638279192274,0.205223880597015,0.255267778753292,0.213564530289728,0.231123792800702,0.230026338893766,0.276558384547849,0.179323968393327,0.210711150131694,0.191834942932397
0.252414398595259,0.282484635645303,0.254170324846356,0.270193151887621,0.269534679543459,0.183713784021071,0.206540825285338,0.18459174714662,0.263608428446005,0.208516242317823,0.229148375768218,0.203028972783143,0.261633011413521,0.190737489025461,0.213784021071115,0.19315188762072
0.26009657594381,0.269973661106234,0.252414398595259,0.252853380158033,0.26558384547849,0.172519754170325,0.198419666374012,0.187006145741879,0.254609306409131,0.198200175592625,0.209613696224759,0.204345917471466,0.262949956101844,0.183494293239684,0.204784899034241,0.194907813871817
0.266242317822651,0.274802458296752,0.265364354697103,0.267998244073749,0.283801580333626,0.169446883230904,0.19622475856014,0.175592625109745,0.266242317822651,0.202370500438982,0.199956101843723,0.190298507462687,0.259877085162423,0.180421422300263,0.194907813871817,0.171422300263389
0.230904302019315,0.277875329236172,0.239464442493415,0.271949078138718,0.264705882352941,0.161325724319579,0.181299385425812,0.171861281826163,0.241878841088674,0.189640035118525,0.18766461808604,0.198858647936787,0.26558384547849,0.164837576821773,0.192932396839333,0.178884986830553
0.240122914837577,0.261633011413521,0.239025460930641,0.247585601404741,0.258779631255487,0.15891132572432,0.189420544337138,0.167910447761194,0.247805092186128,0.188542581211589,0.179762949956102,0.187006145741879,0.253511852502195,0.163081650570676,0.187445127304653,0.172300263388938
0.252853380158033,0.257901668129939,0.239025460930641,0.243415276558385,0.251097453906936,0.147278314310799,0.175812115891133,0.14332748024583,0.25,0.175592625109745,0.191176470588235,0.179982440737489,0.264705882352941,0.159350307287094,0.177129060579456,0.152326602282704
0.214881474978051,0.250877963125549,0.23134328358209,0.248683055311677,0.245829675153644,0.145741878841089,0.16352063213345,0.148375768217735,0.244293239683933,0.174495171202809,0.174275680421422,0.164618086040386,0.24297629499561,0.153643546971027,0.17603160667252,0.143107989464442
