"","matrix.NA..nrow...numboot..ncol...1."
"1",0.0980348574192958
"2",0.398403928790669
"3",0.282911368524318
"4",0.19223057302252
"5",0.381712626995646
"6",0.129858533999275
"7",0.282509965139373
"8",0.225609038484171
"9",0.197232308008495
"10",0.149449740211922
"11",0.17380507268618
"12",0.175941605839416
"13",0.465886152603956
"14",0.33834615533305
"15",0.169314750596643
"16",0.386096056811811
"17",0.202072538860104
"18",0.143572418805605
"19",0.249344665978235
"20",0.0413541428205922
"21",0.250377361056339
"22",0.204253758709204
"23",0.321129949667862
"24",0.318469869800668
"25",0.281089528912704
"26",0.364096408549643
"27",0.250320127274844
"28",0.323894828084369
"29",0.164922561741314
"30",0.403003003003003
"31",0.0494769165326279
"32",0.15907207953604
"33",0.161024433323521
"34",0.1538676347389
"35",0.302422723475355
"36",0.318854486235184
"37",0.304373806523688
"38",0.381441204750748
"39",0.250922866346832
"40",0.234397528321318
"41",0.144057159409095
"42",0.194235308078744
"43",0.312217629529943
"44",0.292852795997025
"45",0.279835390946502
"46",0.096102015366668
"47",0.0885416666666667
"48",0.158408023058396
"49",0.484859452286162
"50",0.265787471468425
"51",0.180103291916106
"52",0.172130817812462
"53",0.132261038827989
"54",0.111601911115118
"55",0.125102207686018
"56",0.124822118316731
"57",0.158420335905583
"58",0.24402461315213
"59",0.220432624777601
"60",0.304145716725168
"61",0.123642993287478
"62",0.26099706744868
"63",0.222972972972973
"64",0.295350074338794
"65",0.29482484626546
"66",0.164936336924584
"67",0.247648902821317
"68",0.183532318932058
"69",0.169245231287454
"70",0.412769923877583
"71",0.255895906749797
"72",0.508215297450425
"73",0.330121000847948
"74",0.132383717005333
"75",0.197558361290143
"76",0.265938430983118
"77",0.251034482758621
"78",0.316033561086133
"79",0.124819475964514
"80",0.264902270244021
"81",0.346779048765804
"82",0.214369041393459
"83",0.161506103027377
"84",0.476722634852208
"85",0.29016718617172
"86",0.170899698665519
"87",0.227491362373823
"88",0.252290335915934
"89",0.21654501216545
"90",0.595036814835015
"91",0.271646228167967
"92",0.285320330421049
"93",0.19620183283648
"94",0.342845019624483
"95",0.20490168139071
"96",0.0900376853079822
"97",0.144874476987448
"98",0.134535367545076
"99",0.121168675165653
"100",0.0974644848048912
