"","matrix.NA..nrow...numboot..ncol...1."
"1",0.277711414095646
"2",0.494836381734478
"3",0.317503306670026
"4",0.309560666876721
"5",0.456189628005755
"6",0.318302459473806
"7",0.392758718996484
"8",0.231264330825858
"9",0.10541618770708
"10",0.115919326414725
"11",0.322828118194208
"12",0.268707247978995
"13",0.410088168956326
"14",0.290624140775364
"15",0.306930693069307
"16",0.375722543352601
"17",0.255592225889256
"18",0.562340658006556
"19",0.482704689414279
"20",0.223528000959348
"21",0.48064726296055
"22",0.176538572666859
"23",0.242085441920678
"24",0.326470005939418
"25",0.247656071346901
"26",0.160275601853751
"27",0.279186259052031
"28",0.270823576637452
"29",0.255506607929515
"30",0.303965776390334
"31",0.361269210868562
"32",0.511198692684802
"33",0.316044457110288
"34",0.369066218002644
"35",0.441375076734193
"36",0.384196327333863
"37",0.421757058509254
"38",0.437887282384184
"39",0.378010219737702
"40",0.302777197744832
"41",0.141922018783797
"42",0.240913604766634
"43",0.375483765836966
"44",0.324467459103213
"45",0.364296081277213
"46",0.357785328802718
"47",0.245880861850444
"48",0.2869124084605
"49",0.362725134982462
"50",0.304795438019059
"51",0.51028924436444
"52",0.232450041714672
"53",0.245432883240667
"54",0.225325397344496
"55",0.418631664537112
"56",0.299769812561657
"57",0.296847302283441
"58",0.33806146572104
"59",0.282014970665588
"60",0.457050133986884
"61",0.314561754721908
"62",0.416557161629435
"63",0.256503879507074
"64",0.223497016980266
"65",0.175826519729826
"66",0.232571996027805
"67",0.148967122490544
"68",0.277053464032407
"69",0.302737093246736
"70",0.459512458176559
"71",0.376403852742985
"72",0.392578496669838
"73",0.389990186457311
"74",0.231761160557853
"75",0.425929648241206
"76",0.465533725643339
"77",0.310374515712441
"78",0.231968491015016
"79",0.516635279347144
"80",0.335904027420737
"81",0.290104486785495
"82",0.271230836734965
"83",0.482148126290941
"84",0.646464646464646
"85",0.294914928386042
"86",0.335837384003535
"87",0.318575747396708
"88",0.371249924848193
"89",0.171621779176868
"90",0.571758146688455
"91",0.270577215782695
"92",0.33663177925785
"93",0.199409537256915
"94",0.500294985250737
"95",0.454466104160605
"96",0.208469826735604
"97",0.149281772280716
"98",0.279215240261587
"99",0.349712749052683
"100",0.226798541674187
