"","matrix.NA..nrow...numboot..ncol...1."
"1",0.218685407193055
"2",0.295872355185571
"3",0.650522059639304
"4",0.362356347609957
"5",0.369531408479275
"6",0.30247225025227
"7",0.383982747766452
"8",0.296360807882035
"9",0.349601126231816
"10",0.261967279337508
"11",0.384622740747824
"12",0.201986960571251
"13",0.51778093883357
"14",0.51677695297773
"15",0.474017317299794
"16",0.431126509972844
"17",0.37973650460534
"18",0.485025125628141
"19",0.259787010649468
"20",0.241284768042228
"21",0.522530548205667
"22",0.512103934947191
"23",0.524918867238524
"24",0.514355854413491
"25",0.429984984406884
"26",0.58191043703079
"27",0.69706205046934
"28",0.567336825520798
"29",0.229074889867841
"30",0.329650092081031
"31",0.104928704277743
"32",0.526752767527675
"33",0.355313511922284
"34",0.338315491819834
"35",0.404018130589244
"36",0.247595186478522
"37",0.611824745167901
"38",0.710251376323124
"39",0.584974420071484
"40",0.271045520681771
"41",0.346867536285137
"42",0.50570789690479
"43",0.53740247820101
"44",0.346413331419399
"45",0.348007801616049
"46",0.362859056700422
"47",0.34023737491273
"48",0.324171153301218
"49",0.623797593239261
"50",0.31560517283223
"51",0.406659939455096
"52",0.393471810089021
"53",0.412231930103257
"54",0.384067889405968
"55",0.302380114902099
"56",0.252619785144665
"57",0.445067922903264
"58",0.294779233510406
"59",0.455937193326791
"60",0.327144947983281
"61",0.334308399498537
"62",0.491608677855096
"63",0.519850043256753
"64",0.335826808664939
"65",0.275515093435553
"66",0.247517039922103
"67",0.419865221213009
"68",0.287723595838325
"69",0.239240890554683
"70",0.637622979304725
"71",0.395747437127091
"72",0.404628736740598
"73",0.474395137261134
"74",0.25488878435589
"75",0.343974789340275
"76",0.366624833002712
"77",0.448400180261379
"78",0.314940135346174
"79",0.348719299400803
"80",0.548039331832721
"81",0.431939343679659
"82",0.318078402713622
"83",0.194885513368913
"84",0.554095045500506
"85",0.48920729438035
"86",0.324357405140759
"87",0.187361563517915
"88",0.713960517968429
"89",0.31838768115942
"90",0.725050916496945
"91",0.302739238705087
"92",0.72602578719103
"93",0.208451854025026
"94",0.563850463015891
"95",0.525344271901553
"96",0.408920915807717
"97",0.261289942223794
"98",0.373031777841397
"99",0.338244093127152
"100",0.259245790756027
