"","byClass.Sensitivity","byClass.Specificity","byClass.Pos.Pred.Value","byClass.Neg.Pred.Value","byClass.Precision","byClass.Recall","byClass.F1","byClass.Prevalence","byClass.Detection.Rate","byClass.Detection.Prevalence","byClass.Balanced.Accuracy"
"1",0,0,0,0,0,0,0,0,0,0,0
"Class: 1",1,0.866666666666667,0.6,1,0.6,1,0.75,0.166666666666667,0.166666666666667,0.277777777777778,0.933333333333333
"Class: 2",0.8,0.904761904761905,0.857142857142857,0.863636363636364,0.857142857142857,0.8,0.827586206896552,0.416666666666667,0.333333333333333,0.388888888888889,0.852380952380952
"Class: 3",0.375,0.964285714285714,0.75,0.84375,0.75,0.375,0.5,0.222222222222222,0.0833333333333333,0.111111111111111,0.669642857142857
"Class: 4",0.714285714285714,0.896551724137931,0.625,0.928571428571428,0.625,0.714285714285714,0.666666666666667,0.194444444444444,0.138888888888889,0.222222222222222,0.805418719211823
"Class: 11",0.75,0.964285714285714,0.857142857142857,0.931034482758621,0.857142857142857,0.75,0.8,0.222222222222222,0.166666666666667,0.194444444444444,0.857142857142857
"Class: 21",0.833333333333333,0.833333333333333,0.714285714285714,0.909090909090909,0.714285714285714,0.833333333333333,0.769230769230769,0.333333333333333,0.277777777777778,0.388888888888889,0.833333333333333
"Class: 31",0.6,0.903225806451613,0.5,0.933333333333333,0.5,0.6,0.545454545454545,0.138888888888889,0.0833333333333333,0.166666666666667,0.751612903225806
"Class: 41",0.636363636363636,0.92,0.777777777777778,0.851851851851852,0.777777777777778,0.636363636363636,0.7,0.305555555555556,0.194444444444444,0.25,0.778181818181818
"Class: 12",0.555555555555556,0.925925925925926,0.714285714285714,0.862068965517241,0.714285714285714,0.555555555555556,0.625,0.25,0.138888888888889,0.194444444444444,0.740740740740741
"Class: 22",0.9,0.884615384615385,0.75,0.958333333333333,0.75,0.9,0.818181818181818,0.277777777777778,0.25,0.333333333333333,0.892307692307692
"Class: 32",0.571428571428571,0.96551724137931,0.8,0.903225806451613,0.8,0.571428571428571,0.666666666666667,0.194444444444444,0.111111111111111,0.138888888888889,0.768472906403941
"Class: 42",0.7,0.807692307692308,0.583333333333333,0.875,0.583333333333333,0.7,0.636363636363636,0.277777777777778,0.194444444444444,0.333333333333333,0.753846153846154
"Class: 13",0.75,0.9375,0.6,0.967741935483871,0.6,0.75,0.666666666666667,0.111111111111111,0.0833333333333333,0.138888888888889,0.84375
"Class: 23",0.636363636363636,0.96,0.875,0.857142857142857,0.875,0.636363636363636,0.736842105263158,0.305555555555556,0.194444444444444,0.222222222222222,0.798181818181818
"Class: 33",0.625,0.857142857142857,0.555555555555555,0.888888888888889,0.555555555555556,0.625,0.588235294117647,0.222222222222222,0.138888888888889,0.25,0.741071428571429
"Class: 43",0.769230769230769,0.826086956521739,0.714285714285714,0.863636363636364,0.714285714285714,0.769230769230769,0.740740740740741,0.361111111111111,0.277777777777778,0.388888888888889,0.797658862876254
"Class: 14",0.625,0.964285714285714,0.833333333333333,0.9,0.833333333333333,0.625,0.714285714285714,0.222222222222222,0.138888888888889,0.166666666666667,0.794642857142857
"Class: 24",0.714285714285714,0.818181818181818,0.714285714285714,0.818181818181818,0.714285714285714,0.714285714285714,0.714285714285714,0.388888888888889,0.277777777777778,0.388888888888889,0.766233766233766
"Class: 34",0.571428571428571,0.96551724137931,0.8,0.903225806451613,0.8,0.571428571428571,0.666666666666667,0.194444444444444,0.111111111111111,0.138888888888889,0.768472906403941
"Class: 44",0.571428571428571,0.758620689655172,0.363636363636364,0.88,0.363636363636364,0.571428571428571,0.444444444444444,0.194444444444444,0.111111111111111,0.305555555555556,0.665024630541872
"Class: 15",0.5,0.90625,0.4,0.935483870967742,0.4,0.5,0.444444444444444,0.111111111111111,0.0555555555555556,0.138888888888889,0.703125
"Class: 25",0.727272727272727,0.8,0.615384615384616,0.869565217391304,0.615384615384615,0.727272727272727,0.666666666666667,0.305555555555556,0.222222222222222,0.361111111111111,0.763636363636364
"Class: 35",0.538461538461538,0.956521739130435,0.875,0.785714285714286,0.875,0.538461538461538,0.666666666666667,0.361111111111111,0.194444444444444,0.222222222222222,0.747491638795987
"Class: 45",0.375,0.75,0.3,0.807692307692308,0.3,0.375,0.333333333333333,0.222222222222222,0.0833333333333333,0.277777777777778,0.5625
"Class: 16",0.75,0.857142857142857,0.6,0.923076923076923,0.6,0.75,0.666666666666667,0.222222222222222,0.166666666666667,0.277777777777778,0.803571428571429
"Class: 26",0.416666666666667,0.916666666666667,0.714285714285714,0.758620689655172,0.714285714285714,0.416666666666667,0.526315789473684,0.333333333333333,0.138888888888889,0.194444444444444,0.666666666666667
"Class: 36",0.6,0.870967741935484,0.428571428571429,0.931034482758621,0.428571428571429,0.6,0.5,0.138888888888889,0.0833333333333333,0.194444444444444,0.735483870967742
"Class: 46",0.636363636363636,0.8,0.583333333333333,0.833333333333333,0.583333333333333,0.636363636363636,0.608695652173913,0.305555555555556,0.194444444444444,0.333333333333333,0.718181818181818
"Class: 17",0.5,0.90625,0.4,0.935483870967742,0.4,0.5,0.444444444444444,0.111111111111111,0.0555555555555556,0.138888888888889,0.703125
"Class: 27",0.571428571428571,0.818181818181818,0.666666666666667,0.75,0.666666666666667,0.571428571428571,0.615384615384615,0.388888888888889,0.222222222222222,0.333333333333333,0.694805194805195
"Class: 37",0.5,0.9,0.5,0.9,0.5,0.5,0.5,0.166666666666667,0.0833333333333333,0.166666666666667,0.7
"Class: 47",0.666666666666667,0.791666666666667,0.615384615384615,0.826086956521739,0.615384615384615,0.666666666666667,0.64,0.333333333333333,0.222222222222222,0.361111111111111,0.729166666666667
"Class: 18",0.555555555555556,1,1,0.870967741935484,1,0.555555555555556,0.714285714285714,0.25,0.138888888888889,0.138888888888889,0.777777777777778
"Class: 28",0.777777777777778,0.851851851851852,0.636363636363636,0.92,0.636363636363636,0.777777777777778,0.7,0.25,0.194444444444444,0.305555555555556,0.814814814814815
"Class: 38",0.875,0.857142857142857,0.636363636363636,0.96,0.636363636363636,0.875,0.736842105263158,0.222222222222222,0.194444444444444,0.305555555555556,0.866071428571429
"Class: 48",0.7,0.923076923076923,0.777777777777778,0.888888888888889,0.777777777777778,0.7,0.736842105263158,0.277777777777778,0.194444444444444,0.25,0.811538461538462
"Class: 19",1,0.848484848484849,0.375,1,0.375,1,0.545454545454545,0.0833333333333333,0.0833333333333333,0.222222222222222,0.924242424242424
"Class: 29",0.785714285714286,0.909090909090909,0.846153846153846,0.869565217391304,0.846153846153846,0.785714285714286,0.814814814814815,0.388888888888889,0.305555555555556,0.361111111111111,0.847402597402597
"Class: 39",0.571428571428571,0.96551724137931,0.8,0.903225806451613,0.8,0.571428571428571,0.666666666666667,0.194444444444444,0.111111111111111,0.138888888888889,0.768472906403941
"Class: 49",0.583333333333333,0.875,0.7,0.807692307692308,0.7,0.583333333333333,0.636363636363636,0.333333333333333,0.194444444444444,0.277777777777778,0.729166666666667
"Class: 110",0.75,0.964285714285714,0.857142857142857,0.931034482758621,0.857142857142857,0.75,0.8,0.222222222222222,0.166666666666667,0.194444444444444,0.857142857142857
"Class: 210",0.444444444444444,0.925925925925926,0.666666666666667,0.833333333333333,0.666666666666667,0.444444444444444,0.533333333333333,0.25,0.111111111111111,0.166666666666667,0.685185185185185
"Class: 310",0.875,0.785714285714286,0.538461538461538,0.956521739130435,0.538461538461538,0.875,0.666666666666667,0.222222222222222,0.194444444444444,0.361111111111111,0.830357142857143
"Class: 410",0.636363636363636,0.88,0.7,0.846153846153846,0.7,0.636363636363636,0.666666666666667,0.305555555555556,0.194444444444444,0.277777777777778,0.758181818181818
"Class: 111",0.6,0.923076923076923,0.75,0.857142857142857,0.75,0.6,0.666666666666667,0.277777777777778,0.166666666666667,0.222222222222222,0.761538461538461
"Class: 211",0.727272727272727,0.92,0.8,0.884615384615385,0.8,0.727272727272727,0.761904761904762,0.305555555555556,0.222222222222222,0.277777777777778,0.823636363636364
"Class: 311",0.8,0.935483870967742,0.666666666666666,0.966666666666667,0.666666666666667,0.8,0.727272727272727,0.138888888888889,0.111111111111111,0.166666666666667,0.867741935483871
"Class: 411",0.8,0.846153846153846,0.666666666666667,0.916666666666667,0.666666666666667,0.8,0.727272727272727,0.277777777777778,0.222222222222222,0.333333333333333,0.823076923076923
"Class: 112",0.666666666666667,0.888888888888889,0.666666666666667,0.888888888888889,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.166666666666667,0.25,0.777777777777778
