"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Accuracy",0.527777777777778,0.666666666666667,0.583333333333333,0.555555555555556,0.694444444444444,0.555555555555556,0.611111111111111,0.638888888888889,0.611111111111111,0.5,0.583333333333333,0.555555555555556,0.75,0.638888888888889,0.555555555555556,0.666666666666667,0.555555555555556,0.527777777777778,0.555555555555556,0.416666666666667,0.638888888888889,0.611111111111111,0.694444444444444,0.638888888888889,0.638888888888889,0.694444444444444,0.583333333333333,0.694444444444444,0.555555555555556,0.694444444444444,0.472222222222222,0.555555555555556,0.583333333333333,0.527777777777778,0.666666666666667,0.694444444444444,0.666666666666667,0.722222222222222,0.555555555555556,0.611111111111111,0.555555555555556,0.527777777777778,0.666666666666667,0.694444444444444,0.638888888888889,0.5,0.472222222222222,0.583333333333333,0.777777777777778,0.527777777777778,0.583333333333333,0.555555555555556,0.555555555555556,0.472222222222222,0.527777777777778,0.555555555555556,0.527777777777778,0.611111111111111,0.555555555555556,0.638888888888889,0.444444444444444,0.611111111111111,0.583333333333333,0.694444444444444,0.666666666666667,0.583333333333333,0.638888888888889,0.527777777777778,0.583333333333333,0.583333333333333,0.527777777777778,0.666666666666667,0.666666666666667,0.555555555555556,0.611111111111111,0.638888888888889,0.666666666666667,0.666666666666667,0.555555555555556,0.611111111111111,0.527777777777778,0.583333333333333,0.555555555555556,0.777777777777778,0.666666666666667,0.527777777777778,0.583333333333333,0.666666666666667,0.555555555555556,0.777777777777778,0.611111111111111,0.611111111111111,0.5,0.583333333333333,0.583333333333333,0.527777777777778,0.527777777777778,0.555555555555556,0.527777777777778,0.5
"Kappa",0.385542168674699,0.551867219917012,0.44672131147541,0.411644535240041,0.593011305241521,0.402489626556017,0.478260869565217,0.501597444089457,0.483076923076923,0.328497409326425,0.444444444444444,0.413441955193483,0.661087866108787,0.525354969574036,0.391763463569166,0.544303797468354,0.383297644539615,0.367114788004136,0.387234042553192,0.213319458896982,0.517525773195876,0.471698113207547,0.585340314136126,0.494600431965443,0.502127659574468,0.589211618257261,0.451776649746193,0.593846153846154,0.402489626556017,0.583157894736842,0.291925465838509,0.401247401247401,0.442148760330579,0.363825363825364,0.548117154811716,0.597151576805697,0.554639175257732,0.630390143737166,0.39874739039666,0.483606557377049,0.409836065573771,0.352380952380952,0.554639175257732,0.590909090909091,0.508403361344538,0.32429614181439,0.29045643153527,0.425531914893617,0.695881731784583,0.333333333333333,0.436325678496868,0.399374348279458,0.370491803278689,0.310483870967742,0.363163371488033,0.393684210526316,0.346851654215582,0.479876160990712,0.397489539748954,0.516528925619835,0.245283018867925,0.433070866141732,0.444444444444444,0.592592592592593,0.552331606217617,0.431578947368421,0.5125,0.361169102296451,0.427966101694915,0.396648044692738,0.343347639484979,0.536480686695279,0.551867219917012,0.401869158878505,0.479338842975207,0.518518518518518,0.553719008264463,0.51731843575419,0.409230769230769,0.492957746478873,0.353065539112051,0.446153846153846,0.413441955193483,0.69937369519833,0.558282208588957,0.334058759521219,0.44672131147541,0.54858934169279,0.414634146341464,0.692963752665245,0.483076923076923,0.452173913043478,0.318611987381703,0.405286343612335,0.447287615148414,0.355110642781876,0.337662337662338,0.399374348279458,0.389830508474576,0.364705882352941
"AccuracyLower",0.35486379853731,0.490297453348109,0.407565240891777,0.380976794089384,0.51892936999992,0.380976794089384,0.434638047448425,0.462209000168164,0.434638047448425,0.32922179945771,0.407565240891777,0.380976794089384,0.577970415421856,0.462209000168164,0.380976794089384,0.490297453348109,0.380976794089384,0.35486379853731,0.380976794089384,0.255141048326468,0.462209000168164,0.434638047448425,0.51892936999992,0.462209000168164,0.462209000168164,0.51892936999992,0.407565240891777,0.51892936999992,0.380976794089384,0.51892936999992,0.304050588716265,0.380976794089384,0.407565240891777,0.35486379853731,0.490297453348109,0.51892936999992,0.490297453348109,0.548138854932161,0.380976794089384,0.434638047448425,0.380976794089384,0.35486379853731,0.490297453348109,0.51892936999992,0.462209000168164,0.32922179945771,0.304050588716265,0.407565240891777,0.608482350842619,0.35486379853731,0.407565240891777,0.380976794089384,0.380976794089384,0.304050588716265,0.35486379853731,0.380976794089384,0.35486379853731,0.434638047448425,0.380976794089384,0.462209000168164,0.279354191966848,0.434638047448425,0.407565240891777,0.51892936999992,0.490297453348109,0.407565240891777,0.462209000168164,0.35486379853731,0.407565240891777,0.407565240891777,0.35486379853731,0.490297453348109,0.490297453348109,0.380976794089384,0.434638047448425,0.462209000168164,0.490297453348109,0.490297453348109,0.380976794089384,0.434638047448425,0.35486379853731,0.407565240891777,0.380976794089384,0.608482350842619,0.490297453348109,0.35486379853731,0.407565240891777,0.490297453348109,0.380976794089384,0.608482350842619,0.434638047448425,0.434638047448425,0.32922179945771,0.407565240891777,0.407565240891777,0.35486379853731,0.35486379853731,0.380976794089384,0.35486379853731,0.32922179945771
"AccuracyUpper",0.695949411283735,0.814438190174079,0.744858951673532,0.720645808033152,0.836526015371506,0.720645808033152,0.768575598337857,0.791777052913407,0.768575598337857,0.67077820054229,0.744858951673532,0.720645808033152,0.878796705876165,0.791777052913407,0.720645808033152,0.814438190174079,0.720645808033152,0.695949411283735,0.720645808033152,0.592434759108223,0.791777052913407,0.768575598337857,0.836526015371506,0.791777052913407,0.791777052913407,0.836526015371506,0.744858951673532,0.836526015371506,0.720645808033152,0.836526015371506,0.64513620146269,0.720645808033152,0.744858951673532,0.695949411283735,0.814438190174079,0.836526015371506,0.814438190174079,0.857997552736598,0.720645808033152,0.768575598337857,0.720645808033152,0.695949411283735,0.814438190174079,0.836526015371506,0.791777052913407,0.67077820054229,0.64513620146269,0.744858951673532,0.898849469655087,0.695949411283735,0.744858951673532,0.720645808033152,0.720645808033152,0.64513620146269,0.695949411283735,0.720645808033152,0.695949411283735,0.768575598337857,0.720645808033152,0.791777052913407,0.619023205910616,0.768575598337857,0.744858951673532,0.836526015371506,0.814438190174079,0.744858951673532,0.791777052913407,0.695949411283735,0.744858951673532,0.744858951673532,0.695949411283735,0.814438190174079,0.814438190174079,0.720645808033152,0.768575598337857,0.791777052913407,0.814438190174079,0.814438190174079,0.720645808033152,0.768575598337857,0.695949411283735,0.744858951673532,0.720645808033152,0.898849469655087,0.814438190174079,0.695949411283735,0.744858951673532,0.814438190174079,0.720645808033152,0.898849469655087,0.768575598337857,0.768575598337857,0.67077820054229,0.744858951673532,0.744858951673532,0.695949411283735,0.695949411283735,0.720645808033152,0.695949411283735,0.67077820054229
"AccuracyNull",0.305555555555556,0.305555555555556,0.444444444444444,0.333333333333333,0.361111111111111,0.305555555555556,0.305555555555556,0.333333333333333,0.361111111111111,0.361111111111111,0.277777777777778,0.277777777777778,0.333333333333333,0.361111111111111,0.333333333333333,0.333333333333333,0.333333333333333,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.444444444444444,0.361111111111111,0.305555555555556,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.277777777777778,0.333333333333333,0.305555555555556,0.333333333333333,0.305555555555556,0.388888888888889,0.305555555555556,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.361111111111111,0.305555555555556,0.361111111111111,0.388888888888889,0.333333333333333,0.388888888888889,0.361111111111111,0.305555555555556,0.361111111111111,0.333333333333333,0.416666666666667,0.361111111111111,0.305555555555556,0.333333333333333,0.305555555555556,0.388888888888889,0.333333333333333,0.416666666666667,0.416666666666667,0.333333333333333,0.333333333333333,0.277777777777778,0.361111111111111,0.277777777777778,0.305555555555556,0.305555555555556,0.472222222222222,0.388888888888889,0.388888888888889,0.361111111111111,0.277777777777778,0.333333333333333,0.333333333333333,0.416666666666667,0.388888888888889,0.277777777777778,0.388888888888889,0.388888888888889,0.333333333333333,0.305555555555556,0.305555555555556,0.333333333333333,0.416666666666667,0.361111111111111,0.388888888888889,0.388888888888889,0.333333333333333,0.305555555555556,0.444444444444444,0.305555555555556,0.388888888888889,0.277777777777778,0.416666666666667,0.361111111111111,0.305555555555556,0.333333333333333,0.527777777777778
"AccuracyPValue",0.00445942863955206,8.68902019952381e-06,0.0660520839044438,0.00499139106879215,4.9356881169673e-05,0.0015825393422876,0.000145881104914243,0.000170590714535211,0.00197508657306755,0.0612130814266006,0.000117559240132429,0.000417112795377096,3.80787987204914e-07,0.000646427272281417,0.00499139106879215,4.44703614277042e-05,0.00499139106879215,0.00445942863955206,0.00499139106879215,0.187230049238413,0.000170590714535211,0.000584986160459877,1.03127657944211e-05,0.0147863232354646,0.000646427272281417,1.78174061656192e-06,0.000506582745110691,1.03127657944211e-05,0.00499139106879215,1.03127657944211e-05,0.0100421405199993,0.00499139106879215,0.000506582745110691,0.0124992615008391,8.68902019952381e-06,0.000200211836303694,8.68902019952381e-06,3.22923168640362e-07,0.00499139106879215,0.000584986160459877,0.00499139106879215,0.0124992615008391,4.44703614277042e-05,4.9356881169673e-05,3.7670612855308e-05,0.0612130814266006,0.19551690919359,0.00180054613517223,2.32273028812442e-06,0.030092731562346,0.000506582745110691,0.0134287455938434,0.00499139106879215,0.303885535706651,0.030092731562346,0.0015825393422876,0.0124992615008391,0.000145881104914243,0.0314359298205766,0.000170590714535211,0.429415368518995,0.0145846673871997,0.00180054613517223,1.03127657944211e-05,1.36922188521519e-06,0.00542278711767157,6.75841691121484e-06,0.00445942863955206,0.000506582745110691,0.121350344465016,0.0634322649536736,0.000686336340701162,0.00018930819337201,0.000417112795377096,0.000584986160459877,0.000170590714535211,0.00215858850168312,0.000686336340701162,0.000417112795377096,0.00573749591409058,0.0634322649536736,0.00180054613517223,0.0015825393422876,7.1037377780734e-09,4.44703614277042e-05,0.118864240178253,0.00542278711767157,0.000686336340701162,0.0314359298205766,5.96481991996884e-08,0.000145881104914243,0.0328801211186338,0.0113610570042016,0.0141288212713105,0.000117559240132429,0.118864240178253,0.030092731562346,0.0015825393422876,0.0124992615008391,0.692241362894898
"McnemarPValue",NA,NA,NA,0.238103305553544,NA,NA,NA,0.721679409387507,0.54381311588333,NA,NA,NA,NA,0.0883764323567855,NA,NA,0.501824925498011,0.205867644050785,0.203711090512896,NA,0.214685306086282,NA,0.501824925498011,NA,NA,NA,0.061968804416659,NA,0.54993500927339,NA,0.401163147314632,NA,0.649631351882069,0.320847198862134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238103305553544,0.291117461518557,NA,NA,0.747134708464127,0.423190081126844,0.329744701111294,NA,0.263555196124937,NA,0.0335896044191102,NA,0.849368556150675,0.54381311588333,NA,0.676676416183063,NA,NA,NA,NA,0.386903896661552,0.35277615643394,0.401163147314632,0.386903896661552,NA,NA,NA,NA,NA,NA,0.518429575936051,NA,NA,0.173578070910036,NA,0.501824925498011,NA,NA,NA,0.33973988819612,NA,NA,NA,NA,0.302746844716001,0.30783778480252,NA,NA,NA,NA,NA,NA,NA,0.263555196124937,0.291117461518557,0.043035946898983,NA
