"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Accuracy",0.638888888888889,0.666666666666667,0.861111111111111,0.722222222222222,0.694444444444444,0.694444444444444,0.694444444444444,0.694444444444444,0.722222222222222,0.638888888888889,0.722222222222222,0.611111111111111,0.805555555555556,0.75,0.777777777777778,0.75,0.694444444444444,0.805555555555556,0.611111111111111,0.611111111111111,0.805555555555556,0.805555555555556,0.805555555555556,0.75,0.75,0.833333333333333,0.861111111111111,0.833333333333333,0.638888888888889,0.694444444444444,0.555555555555556,0.777777777777778,0.694444444444444,0.694444444444444,0.75,0.638888888888889,0.833333333333333,0.888888888888889,0.833333333333333,0.666666666666667,0.722222222222222,0.777777777777778,0.805555555555556,0.694444444444444,0.694444444444444,0.722222222222222,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.75,0.75,0.75,0.722222222222222,0.694444444444444,0.666666666666667,0.75,0.694444444444444,0.75,0.666666666666667,0.666666666666667,0.75,0.805555555555556,0.722222222222222,0.666666666666667,0.638888888888889,0.75,0.666666666666667,0.638888888888889,0.805555555555556,0.694444444444444,0.722222222222222,0.777777777777778,0.666666666666667,0.722222222222222,0.722222222222222,0.777777777777778,0.666666666666667,0.722222222222222,0.805555555555556,0.75,0.694444444444444,0.611111111111111,0.805555555555556,0.777777777777778,0.694444444444444,0.611111111111111,0.888888888888889,0.611111111111111,0.888888888888889,0.694444444444444,0.888888888888889,0.611111111111111,0.805555555555556,0.805555555555556,0.75,0.611111111111111,0.722222222222222,0.722222222222222,0.694444444444444
"Kappa",0.527272727272727,0.543822597676874,0.801980198019802,0.626943005181347,0.590486039296794,0.592592592592593,0.586206896551724,0.580952380952381,0.63302752293578,0.507368421052632,0.627329192546584,0.483606557377049,0.735294117647059,0.66735112936345,0.697796432318993,0.661795407098121,0.578723404255319,0.737773152965661,0.456896551724138,0.474452554744526,0.733050847457627,0.733333333333333,0.735015772870662,0.636363636363636,0.656050955414013,0.775234131113424,0.811320754716981,0.772631578947368,0.516528925619835,0.585340314136126,0.402489626556017,0.693617021276596,0.592173017507724,0.589637305699482,0.659663865546219,0.513513513513513,0.774294670846395,0.850622406639004,0.777089783281734,0.557377049180328,0.621848739495798,0.692963752665245,0.734736842105263,0.588357588357588,0.585340314136126,0.620653319283456,0.544303797468354,0.547169811320755,0.767491926803014,0.513513513513513,0.662148070907195,0.661087866108787,0.650485436893204,0.62303664921466,0.577374599786553,0.540913921360255,0.653104925053533,0.588357588357588,0.652733118971061,0.553257497414684,0.518930957683742,0.634723788049605,0.736951983298539,0.631901840490798,0.5564681724846,0.497314715359828,0.663551401869159,0.558733401430031,0.507368421052631,0.715896279594138,0.567685589519651,0.612903225806452,0.693290734824281,0.551401869158878,0.626168224299065,0.625,0.696842105263158,0.509090909090909,0.63265306122449,0.736951983298539,0.657505285412262,0.590062111801242,0.491935483870968,0.735849056603774,0.697478991596639,0.551020408163265,0.477178423236515,0.842105263157895,0.454545454545455,0.85031185031185,0.585340314136126,0.836363636363636,0.472803347280335,0.726681127982646,0.741007194244604,0.653475935828877,0.464968152866242,0.629248197734295,0.631525076765609,0.589637305699482
"AccuracyLower",0.462209000168164,0.490297453348109,0.705025051889368,0.548138854932161,0.51892936999992,0.51892936999992,0.51892936999992,0.51892936999992,0.548138854932161,0.462209000168164,0.548138854932161,0.434638047448425,0.639751983824975,0.577970415421856,0.608482350842619,0.577970415421856,0.51892936999992,0.639751983824975,0.434638047448425,0.434638047448425,0.639751983824975,0.639751983824975,0.639751983824975,0.577970415421856,0.577970415421856,0.671884067957082,0.705025051889368,0.671884067957082,0.462209000168164,0.51892936999992,0.380976794089384,0.608482350842619,0.51892936999992,0.51892936999992,0.577970415421856,0.462209000168164,0.671884067957082,0.739389079489171,0.671884067957082,0.490297453348109,0.548138854932161,0.608482350842619,0.639751983824975,0.51892936999992,0.51892936999992,0.548138854932161,0.490297453348109,0.490297453348109,0.671884067957082,0.490297453348109,0.577970415421856,0.577970415421856,0.577970415421856,0.548138854932161,0.51892936999992,0.490297453348109,0.577970415421856,0.51892936999992,0.577970415421856,0.490297453348109,0.490297453348109,0.577970415421856,0.639751983824975,0.548138854932161,0.490297453348109,0.462209000168164,0.577970415421856,0.490297453348109,0.462209000168164,0.639751983824975,0.51892936999992,0.548138854932161,0.608482350842619,0.490297453348109,0.548138854932161,0.548138854932161,0.608482350842619,0.490297453348109,0.548138854932161,0.639751983824975,0.577970415421856,0.51892936999992,0.434638047448425,0.639751983824975,0.608482350842619,0.51892936999992,0.434638047448425,0.739389079489171,0.434638047448425,0.739389079489171,0.51892936999992,0.739389079489171,0.434638047448425,0.639751983824975,0.639751983824975,0.577970415421856,0.434638047448425,0.548138854932161,0.548138854932161,0.51892936999992
"AccuracyUpper",0.791777052913407,0.814438190174079,0.95332233939691,0.857997552736598,0.836526015371506,0.836526015371506,0.836526015371506,0.836526015371506,0.857997552736598,0.791777052913407,0.857997552736598,0.768575598337857,0.918056360234791,0.878796705876165,0.898849469655087,0.878796705876165,0.836526015371506,0.918056360234791,0.768575598337857,0.768575598337857,0.918056360234791,0.918056360234791,0.918056360234791,0.878796705876165,0.878796705876165,0.936279866391614,0.95332233939691,0.936279866391614,0.791777052913407,0.836526015371506,0.720645808033152,0.898849469655087,0.836526015371506,0.836526015371506,0.878796705876165,0.791777052913407,0.936279866391614,0.968883860054985,0.936279866391614,0.814438190174079,0.857997552736598,0.898849469655087,0.918056360234791,0.836526015371506,0.836526015371506,0.857997552736598,0.814438190174079,0.814438190174079,0.936279866391614,0.814438190174079,0.878796705876165,0.878796705876165,0.878796705876165,0.857997552736598,0.836526015371506,0.814438190174079,0.878796705876165,0.836526015371506,0.878796705876165,0.814438190174079,0.814438190174079,0.878796705876165,0.918056360234791,0.857997552736598,0.814438190174079,0.791777052913407,0.878796705876165,0.814438190174079,0.791777052913407,0.918056360234791,0.836526015371506,0.857997552736598,0.898849469655087,0.814438190174079,0.857997552736598,0.857997552736598,0.898849469655087,0.814438190174079,0.857997552736598,0.918056360234791,0.878796705876165,0.836526015371506,0.768575598337857,0.918056360234791,0.898849469655087,0.836526015371506,0.768575598337857,0.968883860054985,0.768575598337857,0.968883860054985,0.836526015371506,0.968883860054985,0.768575598337857,0.918056360234791,0.918056360234791,0.878796705876165,0.768575598337857,0.857997552736598,0.857997552736598,0.836526015371506
"AccuracyNull",0.305555555555556,0.305555555555556,0.444444444444444,0.333333333333333,0.361111111111111,0.305555555555556,0.305555555555556,0.333333333333333,0.361111111111111,0.361111111111111,0.277777777777778,0.277777777777778,0.333333333333333,0.361111111111111,0.333333333333333,0.333333333333333,0.333333333333333,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.444444444444444,0.361111111111111,0.305555555555556,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.277777777777778,0.333333333333333,0.305555555555556,0.333333333333333,0.305555555555556,0.388888888888889,0.305555555555556,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.361111111111111,0.305555555555556,0.361111111111111,0.388888888888889,0.333333333333333,0.388888888888889,0.361111111111111,0.305555555555556,0.361111111111111,0.333333333333333,0.416666666666667,0.361111111111111,0.305555555555556,0.333333333333333,0.305555555555556,0.388888888888889,0.333333333333333,0.416666666666667,0.416666666666667,0.333333333333333,0.333333333333333,0.277777777777778,0.361111111111111,0.277777777777778,0.305555555555556,0.305555555555556,0.472222222222222,0.388888888888889,0.388888888888889,0.361111111111111,0.277777777777778,0.333333333333333,0.333333333333333,0.416666666666667,0.388888888888889,0.277777777777778,0.388888888888889,0.388888888888889,0.333333333333333,0.305555555555556,0.305555555555556,0.333333333333333,0.416666666666667,0.361111111111111,0.388888888888889,0.388888888888889,0.333333333333333,0.305555555555556,0.444444444444444,0.305555555555556,0.388888888888889,0.277777777777778,0.416666666666667,0.361111111111111,0.305555555555556,0.333333333333333,0.527777777777778
"AccuracyPValue",3.7670612855308e-05,8.68902019952381e-06,2.74448097521194e-07,2.11494284243314e-06,4.9356881169673e-05,1.78174061656192e-06,1.78174061656192e-06,1.03127657944211e-05,1.1387481685213e-05,0.000646427272281417,3.91961896960547e-08,2.97779785222705e-05,8.03644755599144e-09,2.30784267805946e-06,5.96481991996884e-08,3.80787987204914e-07,1.03127657944211e-05,8.44823124587828e-10,0.000584986160459877,0.000584986160459877,8.03644755599144e-09,8.03644755599144e-09,8.03644755599144e-09,0.00019501470818994,2.30784267805946e-06,8.5120380440615e-11,7.12423204150071e-12,9.17585260309124e-10,0.000170590714535211,1.03127657944211e-05,0.000417112795377096,5.96481991996884e-08,1.78174061656192e-06,1.03127657944211e-05,5.13586898734259e-08,0.0020966316062059,8.5120380440615e-11,4.81979403640686e-13,9.17585260309124e-10,4.44703614277042e-05,2.11494284243314e-06,5.96481991996884e-08,8.03644755599144e-09,4.9356881169673e-05,1.78174061656192e-06,1.1387481685213e-05,0.000686336340701162,4.44703614277042e-05,5.70907971877897e-08,0.00018930819337201,5.13586898734259e-08,2.30784267805946e-06,3.80787987204914e-07,0.000202204715079674,4.9356881169673e-05,8.68902019952381e-06,3.80787987204914e-07,1.78174061656192e-06,1.17451053680612e-05,4.44703614277042e-05,0.00215858850168312,5.12562349349147e-05,8.03644755599144e-09,2.11494284243314e-06,1.36922188521519e-06,0.000646427272281417,5.4677274259156e-09,8.68902019952381e-06,3.7670612855308e-05,4.22745633467707e-05,0.000200211836303694,5.17228967786502e-05,4.07113095241488e-07,1.36922188521519e-06,2.11494284243314e-06,2.11494284243314e-06,1.13227745791581e-05,0.000686336340701162,3.91961896960547e-08,3.95426294500994e-07,1.17451053680612e-05,1.03127657944211e-05,0.000145881104914243,8.44823124587828e-10,5.96481991996884e-08,0.000701706958467787,0.00197508657306755,6.654681370752e-10,0.00573749591409058,6.67707408740433e-12,1.78174061656192e-06,3.32846146261215e-08,0.000145881104914243,3.95426294500994e-07,6.9124897626388e-11,5.12562349349147e-05,0.00197508657306755,3.22923168640362e-07,2.11494284243314e-06,0.0318442414314956
"McnemarPValue",NA,NA,NA,NA,NA,0.631664737015237,NA,NA,NA,0.253125102629784,NA,NA,NA,NA,NA,0.320847198862134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587219138734453,NA,0.263555196124937,NA,NA,NA,NA,0.173578070910036,NA,NA,NA,0.155681202241421,0.291117461518557,NA,NA,0.0883764323567855,NA,NA,NA,NA,NA,NA,0.320847198862134,NA,NA,NA,NA,NA,0.320847198862134,0.320847198862134,0.631664737015237,0.061968804416659,NA,NA,NA,NA,NA,0.808846830538058,NA,NA,NA,NA,NA,0.501824925498011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238103305553544,NA,NA,NA,0.604896932741938,NA,NA,NA,NA,NA,NA,0.54381311588333,NA,0.124652019483081,NA,NA
