"","matrix.NA..nrow...numboot..ncol...1."
"1",0.332201802645441
"2",0.200817209470016
"3",0.271886737937012
"4",0.159263668834142
"5",0.384292620633038
"6",0.188322145921641
"7",0.171699741156169
"8",0.272370397485579
"9",0.338965728691149
"10",0.204284621270084
"11",0.256701868399675
"12",0.437690175130164
"13",0.431668237511781
"14",0.272422387806501
"15",0.310299886613927
"16",0.137605355968677
"17",0.239612337328665
"18",0.321664456320496
"19",0.295720835455935
"20",0.281608032063479
"21",0.106297655258958
"22",0.173019256476029
"23",0.207427536231884
"24",0.324661246612466
"25",0.268155902420787
"26",0.180103291916106
"27",0.392814665955789
"28",0.181197397816526
"29",0.177237286163156
"30",0.234395877075778
"31",0.178293847738552
"32",0.162460020808447
"33",0.271575613618369
"34",0.195536776798727
"35",0.199688734586376
"36",0.158488714425908
"37",0.0575105250615617
"38",0.434348799271596
"39",0.316229257384959
"40",0.241714633012763
"41",0.321833862914208
"42",0.335452025153831
"43",0.519115614923998
"44",0.199078304397918
"45",0.181434294582596
"46",0.164489147419147
"47",0.110705254284912
"48",0.555339361336843
"49",0.163952225841477
"50",0.336036304121411
"51",0.233817781381222
"52",0.26544405359472
"53",0.117446933411605
"54",0.348155447434871
"55",0.332362967786417
"56",0.39392246676349
"57",0.297064368435228
"58",0.0922072358599561
"59",0.34040940106141
"60",0.396110613061168
"61",0.503943742278818
"62",0.352724748351267
"63",0.220242507307386
"64",0.29062613101701
"65",0.25217402709828
"66",0.239742558326629
"67",0.286361576801087
"68",0.323147760569276
"69",0.527815468113976
"70",0.218436873747495
"71",0.199947830145938
"72",0.416416651688811
"73",0.281495154591601
"74",0.309105706757894
"75",0.19643983460649
"76",0.371980999531679
"77",0.190454336851767
"78",0.324188422704051
"79",0.265504143213529
"80",0.243880951468955
"81",0.29085058201899
"82",0.274919504007673
"83",0.171472800252065
"84",0.315487104265982
"85",0.34508286363254
"86",0.328012649173663
"87",0.331352154531946
"88",0.479277364505845
"89",0.405698778833107
"90",0.279962165499665
"91",0.330503488274355
"92",0.381826933757915
"93",0.350242234254773
"94",0.21792996644584
"95",0.307897071872227
"96",0.251295515788019
"97",0.355643742584789
"98",0.290109712157403
"99",0.28132170720514
"100",0.496619545175169
